id,email,display_name,role,created_at,updated_at
a1b134ac-203b-46ba-8a31-4385c5d0cf15,test_rls_712913@example.com,,patient,2026-06-09 17:14:48.097122+00,2026-06-09 17:14:48.097122+00
a5dd7adb-edd4-4bd0-82ff-c6f309151f82,sim_user_1_1781199052615@ckdtest.com,,patient,2026-06-11 17:30:53.102585+00,2026-06-11 17:30:53.102585+00
c39cb07e-5975-4473-beba-b502ae88f7d6,sim_user_3_1781198478631@ckdtest.com,,patient,2026-06-11 17:21:21.822291+00,2026-06-11 17:21:21.822291+00
c453ccc1-1f0b-4163-9645-08bf800607b9,sim_user_2_1781200689950@ckdtest.com,,patient,2026-06-11 17:58:11.493562+00,2026-06-11 17:58:11.493562+00
d0c57913-931c-4ccf-80c6-24fc6387d5ee,test_rls_754094@example.com,,patient,2026-06-11 17:58:11.017434+00,2026-06-11 17:58:11.017434+00
d2fab47d-0648-4c56-94fa-3781e4cd7d7e,test_rls_621635@example.com,,patient,2026-06-09 18:35:56.572662+00,2026-06-09 18:35:56.572662+00
d6f01098-f60b-4716-a912-7c49c1529010,sim_user_3_1781199052615@ckdtest.com,,patient,2026-06-11 17:30:56.049707+00,2026-06-11 17:30:56.049707+00
d819c874-7cdb-487c-9666-5873061fdbaa,test_user_469825@example.com,,patient,2026-06-09 15:56:14.271151+00,2026-06-09 15:56:14.271151+00
dbf96fa9-c1d5-4632-b4fd-39eec834d684,test_rls_387365@example.com,,patient,2026-06-11 17:20:22.847727+00,2026-06-11 17:20:22.847727+00
dfecc871-6e9c-4bb3-82e2-5a5b057454d2,test_rls_435036@example.com,,patient,2026-06-09 16:41:14.326169+00,2026-06-09 16:41:14.326169+00
e00ecabb-f37a-403f-b2c4-f49e74568c90,sim_user_1_1781198478631@ckdtest.com,,patient,2026-06-11 17:21:18.967573+00,2026-06-11 17:21:18.967573+00
ee29ca95-550a-4138-9889-006543914362,sim_user_4_1781199052615@ckdtest.com,,patient,2026-06-11 17:30:57.204241+00,2026-06-11 17:30:57.204241+00
